MANUFACTURER,CURRENT RATING,VOLTAGE RATING,STARTING SERIAL NO.,END SERIAL NO.,QUANTITY
GENUS,5-20,230,3751748,3771747,20000
GENUS,5-20,230,3778448,3808447,30000
GENUS,5-20,230,3826054,3846053,20000
GENUS,5-20,230,3867959,3887958,20000
GENUS,5-20,230,3887960,3927959,40000
GENUS,5-20,230,3934315,3972814,38500
GENUS,5-20,230,3414914,3419913,5000
GENUS,5-20,230,3574603,3575602,1000
GENUS,5-20,230,3633113,3638112,5000
SIMCO,5-60,230,5158267,5178266,20000
SIMCO,5-60,230,5520749,5530748,10000
SIMCO,5-60,230,5764956,5774955,10000
SIMCO,5-60,230,5801656,5821655,20000
SECURE,5-20,230,4070657,4120656,50000
SECURE,5-20,230,4195446,4215445,20000
L+G,5-20,230,3846054,3866053,20000
L+G,5-20,230,4133271,4138270,5000
L+G,5-20,230,4308247,4313246,5000
L+G,5-20,230,4319547,4339546,20000
L+G,5-20,230,4352632,4362631,10000
L+G,5-20,230,4391812,4401811,10000
L+G,5-20,230,4415222,4435221,20000
L+G,5-20,230,3641148,3646147,5000
L+G,5-20,230,3809454,3819453,10000
SECURE,10-60,400,3487129,3488128,1000
SECURE,10-60,400,3488488,3493487,5000
SECURE,10-60,230,7000001,7097000,90000
